pitch,seed,match_status,innings1_runs,innings1_wickets,innings1_declared,innings1_overs,innings2_runs,innings2_wickets,innings2_declared,innings2_overs,innings3_runs,innings3_wickets,innings3_declared,innings3_overs,innings4_runs,innings4_wickets,innings4_overs
Dead,73,completed,750,10,No,201.5,227,10,No,70.6,242,10,No,85.1,,,
Dead,74,completed,304,10,No,89.4,454,9,Yes,126,240,10,No,81.1,92,1,35.1
Dead,75,completed,471,9,Yes,146,299,10,No,95.2,473,7,Yes,136,76,10,29.3
Dead,76,completed,361,10,No,103.1,565,9,Yes,143,105,10,No,42.5,0,0,0
Dead,77,completed,646,9,Yes,188,186,10,No,54.6,204,10,No,84.3,,,
Dead,78,completed,333,10,No,86.4,267,10,No,77.4,262,10,No,80.4,114,10,34.4
Dead,79,completed,421,10,No,120.5,389,10,No,107.3,153,10,No,55.3,189,2,62.3
Dead,80,completed,412,9,Yes,112,385,10,No,112.5,392,10,No,120.6,190,10,72.3
Dead,81,completed,210,10,No,63.1,211,10,No,64.2,227,9,Yes,65,227,5,58.3
Dead,82,drawn,417,9,Yes,119,139,10,No,40.2,347,9,Yes,118,431,6,158
Dead,83,drawn,322,10,No,93.6,557,9,Yes,156,400,8,Yes,128,151,7,58
Dead,84,completed,410,9,Yes,116,199,10,No,68.5,126,9,Yes,41,338,5,92.3
Dead,85,completed,189,10,No,64.6,468,9,Yes,127,466,10,No,111.1,172,10,52.2
Dead,86,completed,171,10,No,55.4,473,9,Yes,136,361,10,No,98.3,60,1,10.3
Dead,87,drawn,373,10,No,94.6,497,9,Yes,142,357,10,No,107.1,220,6,77
Dead,88,completed,330,10,No,91.4,324,10,No,94.4,277,9,Yes,81,278,10,76.3
Dead,89,completed,279,10,No,74.3,553,10,No,142.2,217,10,No,61.6,0,0,0
Dead,90,completed,257,10,No,79.1,456,9,Yes,133,219,10,No,59.6,21,0,6.5
Dead,91,completed,251,10,No,73.2,555,9,Yes,152,161,10,No,53.2,0,0,0
Dead,92,completed,330,10,No,101.6,233,10,No,74.2,213,10,No,56.5,311,4,92
Dead,93,completed,470,9,Yes,127,233,10,No,70.5,202,9,Yes,56,242,10,68.2
Dead,94,completed,388,9,Yes,96,179,10,No,59.4,325,9,Yes,97,204,10,75.4
Dead,95,drawn,473,9,Yes,137,759,9,Yes,195,314,10,No,99.1,8,0,4
Dead,96,completed,331,10,No,95.3,147,10,No,50.2,295,9,Yes,91,337,10,105.5
Dead,97,drawn,573,9,Yes,152,181,10,No,53.5,394,8,Yes,127,223,2,58
Dead,98,completed,215,10,No,61.3,465,9,Yes,123,169,10,No,53.4,0,0,0
Dead,99,completed,581,9,Yes,157,327,10,No,82.3,279,5,Yes,104,143,10,48.6
Dead,100,completed,524,9,Yes,145,367,10,No,97.3,212,7,Yes,77,146,10,53.5
